variable,hh,person,day,trip,vehicle,data_type,description,logic
prev_res_factors_school,1,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Access to a different K-12 school,"if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_specify,1,0,0,0,0,character,"Other factor in decision to move away from prior residence, write-in text","if selected ""other"" factor in decision to move (until 2023); if prev_res_factors_other = ""selected"" (selected ""other"" factor in decision to move) (2025)"
prev_res_factors_telework,1,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Employer's telework policy removed need to live in previous residence,"if moved in the last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_type,1,0,0,0,0,integer/categorical,Previous home residence type,"if moved in the last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
proxy,0,1,0,0,0,integer/categorical,Survey respondent/proxy,if ABS or (online panel and pernum = 1)
proxy_complete,0,0,1,0,0,integer/categorical,Proxy completion status,
proxy_parent,0,1,0,0,0,integer/categorical,Person is proxy reporter for children in household,if hhgroup = rMove
race_afam,0,1,0,0,0,integer/categorical,Race -- African American or Black,if age 18+
race_aiak,0,1,0,0,0,integer/categorical,Race -- American Indian or Alaska Native,if age 18+
race_asian,0,1,0,0,0,integer/categorical,Race -- Asian,if age 18+
race_category,0,1,0,0,0,integer/categorical,Race Group,
race_hapi,0,1,0,0,0,integer/categorical,Race -- Native Hawaiian or Pacific Islander,if age 18+
race_hisp,0,1,0,0,0,integer/categorical,Race -- Hispanic,if age 18+
race_noanswer,0,1,0,0,0,integer/categorical,Race -- Prefer not to answer,if age 18+
race_other,0,1,0,0,0,integer/categorical,Race -- Other,if age 18+
race_other_specify,0,1,0,0,0,character,Other race textbox answer,"if selected ""other"" race"
race_white,0,1,0,0,0,integer/categorical,Race -- White,if age 18+
relationship,0,1,0,0,0,integer/categorical,Relationship to primary respondent,if num_people > 1 (2025)
remote_class_freq,0,1,0,0,0,integer/categorical,"How often the person attends classes online from a location that is not school (e.g., home, library, coffee shop)","if adult student or if child who is not cared for at home or attending daycare (2023); if age < 18 and school_type NOT = ""cared for at home"" or ""preschool or dayccare outside home"" (2025)"
rent_own,1,0,0,0,0,integer/categorical,Residence tenure status,if age 18+ and rMove or (rMove for web and person 1) (2025)
reported_lat,1,0,0,0,0,numeric,Reported home latitude,
reported_lng,1,0,0,0,0,numeric,Reported home longitude,
res_dur,1,0,0,0,0,integer/categorical,How long lived in current residence,if age 18+ and rMove or (rMove for web and person 1) (2025)
res_type,1,0,0,0,0,integer/categorical,Type of residence,if age 18+ and rMove or (rMove for web and person 1) (2025)
return_from_leave,0,1,0,0,0,integer/categorical,Person expects to travel to a workplace outside of home after returning from leave,"if paid_work = ""on leave (e.g., medical, paretnal)"""
sample_home_bg,1,0,0,0,0,character,Sample home location-- Block group,
sample_lat,1,0,0,0,0,numeric,Sample home latitude,
sample_lng,1,0,0,0,0,numeric,Sample home longitude,
sample_segment,1,0,0,0,0,integer/categorical,Sample segment,
school_bg,0,1,0,0,0,character,School address census block group,if travels to school
school_county,0,1,0,0,0,integer/categorical,School address: County,
school_freq,0,1,0,0,0,integer/categorical,How often travels to school,"if student (2023); if age < 18 and school_type NOT = ""cared for at home"" or ""home school"" (2025)"
school_in_region,0,1,0,0,0,integer/categorical,School is in PSRC MPO area,
school_jurisdiction,0,1,0,0,0,integer/categorical,School address Jurisdiction,
school_loc_lat,0,1,0,0,0,numeric,School address latitude,"if traveled to school last week (2023); if hh has 1+ adult_student = part/full-time student, currently attending some or all classes in person and/or 1+ age <18 child with school_type NOT = ""cared for at home"" or ""home school"" (2025)"
school_loc_lng,0,1,0,0,0,numeric,School address longitude,"if traveled to school last week (2023); if hh has 1+ adult_student = part/full-time student, currently attending some or all classes in person and/or 1+ age <18 child with school_type NOT = ""cared for at home"" or ""home school"" (2025)"
school_mode_typical,0,1,0,0,0,integer/categorical,How does child/adult student typically travel to/from school or daycare,"if adult student or child who attends schoool or daycare in person fully or partially (2023); if hh has 1+ adult_student = part/full-time student, currently attending some or all classes in person and/or 1+ age <18 child with school_type NOT = ""cared for at home"" or ""home school"" (2025)"
school_puma10,0,1,0,0,0,character,School address PUMA (Public Use Microdata Area) 2010,"if hh has 1+ adult_student = part/full-time student, currently attending some or all classes in person and/or 1+ age <18 child with school_type NOT = ""cared for at home"" or ""home school"""
school_rgcname,0,1,0,0,0,integer/categorical,School address Regional Growth Center name,if travels to school
school_tract_2020,0,1,0,0,0,character,School address: Census Tract,
schooltype,0,1,0,0,0,integer/categorical,Type of school attended,"if household has 1 or more related children age 0-17 or 1 or more participating adult students (2023); if hh has 1+ age ≥ 18 and adult_student NOT = ""not a student"" or 1+ age < 18 (2025)"
second_home,0,1,0,0,0,integer/categorical,"Person regularly spends the night at a second home (e.g., another parent or grandparent's house, partner or spouses' home, vacation home)",
second_home_in_region,0,1,0,0,0,integer/categorical,Second home is in PSRC MPO area,
second_home_lat,0,1,0,0,0,numeric,Second home latitude,"if second_home = ""regularly spends night at second home"""
second_home_lon,0,1,0,0,0,numeric,Second home longitude,"if second_home = ""regularly spends night at second home"""
sexuality,0,1,0,0,0,integer/categorical,Sexuality,if age ≥ 18
share_1,0,1,0,0,0,integer/categorical,Typical travel methods -- Walk (outside for 15-minutes or more),if age ≥ 18
share_2,0,1,0,0,0,integer/categorical,Typical travel methods -- Bike (outside for 15-minutes or more),if age ≥ 18
share_3,0,1,0,0,0,integer/categorical,"Typical travel methods -- Transit (e.g., bus, rail, ferry)",if age ≥ 18
share_4,0,1,0,0,0,integer/categorical,"Typical travel methods -- Rideshare (Uber, Lyft, other smartphone-app car service)",if age ≥ 18
share_5,0,1,0,0,0,integer/categorical,"Typical travel methods -- Carshare (e.g., Turo, ZipCar, Getaround, GIG)",if age ≥ 18
share_996,0,1,0,0,0,integer/categorical,Typical travel methods -- None of the above,if age ≥ 18
signup_platform,1,0,0,0,0,character,Platform used by participant for part one (signup survey),
smartphone_type,0,1,0,0,0,integer/categorical,Smartphone type,if rMove for Web or (recruiting in rMove and hh has 2+ person age ≥ 18)
speed_flag,0,0,0,1,0,integer/categorical,Unusually high speed given mode,
speed_mph,0,0,0,1,0,numeric,Trip speed in miles per hour (derived),
survey_year,1,1,1,1,1,integer/categorical,Survey data collection year,
telecommute_freq,0,1,0,0,0,integer/categorical,How many days typically working from home,"if commute frequency is not 6-7 days a week (2023); if age ≥ 18 and paid_work = ""yes"" or ""on leave (e.g., medical, parental) (2025)"
telework_time,0,0,1,0,0,integer/categorical,Telework time on travel day,"if age 18+ and full/part/self employed (2017-2021); if age ≥ 18 and paid_work = ""yes"" or ""on leave (e.g., medical, parental) (2025)"
tnc_freq,0,1,0,0,0,integer/categorical,"How often the person has used Uber, Lyft, or other smartphone-app car services in the past 30 days","if age ≥ 18 and share = ""Rideshare (Uber, Lyft, other smartphone-app car service)"" (share_4 = ""selected"")"
transit_freq,0,1,0,0,0,integer/categorical,"How often the person used transit (e.g., bus, rail, ferry) in the past 30 days","if age ≥ 18 and share = ""Transit (e.g., bus, rail, ferry)"" (share_3 = ""selected"")"
transit_quality_flag,0,0,0,1,0,character,Transit quality flag,
transportation_statement_car,0,1,0,0,0,integer/categorical,"Transportation attitudes -- Agreement with the statement ""I want to own a car.""",If age ≥ 18 and rMove or (rMove for Web and web_proxy = self)
transportation_statement_environ,0,1,0,0,0,integer/categorical,"Transportation attitudes -- Agreement with the statement ""Environmental issues are emphasized too much in this country.""",If age ≥ 18 and rMove or (rMove for Web and web_proxy = self)
transportation_statement_retail,0,1,0,0,0,integer/categorical,"Transportation attitudes -- Agreement with the statement ""I like the idea of having stores, restaurants, and offices mixed among the homes in my neighborhood.""",If age ≥ 18 and rMove or (rMove for Web and web_proxy = self)
transportation_statement_telework,0,1,0,0,0,integer/categorical,"Transportation attitudes -- Agreement with the statement ""It is important that my job allows me to telework.""",If age ≥ 18 and rMove or (rMove for Web and web_proxy = self)
transportation_statement_transit,0,1,0,0,0,integer/categorical,"Transportation attitudes -- Agreement with the statement  ""I like the idea of public transit as a means of travel for me personally.""",If age ≥ 18 and rMove or (rMove for Web and web_proxy = self)
transportation_statement_travel,0,1,0,0,0,integer/categorical,"Transportation attitudes -- Agreement with the statement ""I generally enjoy the act of traveling itself.""",If age ≥ 18 and rMove or (rMove for Web and web_proxy = self)
transportation_statement_walk,0,1,0,0,0,integer/categorical,"Transportation attitudes -- Agreement with the statement ""I try to make as many of my trips as possible by walking or bicycling.""",If age ≥ 18 and rMove or (rMove for Web and web_proxy = self)
travel_date,0,0,1,1,0,date,Travel date,
travel_day,0,0,1,1,0,integer/categorical,Is travel day,
travel_dow,0,0,1,1,0,integer/categorical,Travel day of week,
traveldate,,,,,,,,
traveldate_end,1,0,0,1,0,date,Last travel date,2019: if hhgroup = rMove; 2023: all households
traveldate_start,1,0,0,1,0,date,First travel date,2019: if hhgroup = rMove; 2023: all households
travelers_hh,0,0,0,1,0,numeric,Number of household members on trip (including self),
travelers_nonhh,0,0,0,1,0,integer/categorical,Number of non-household members on trip,
travelers_total,0,0,0,1,0,integer/categorical,Number of total travelers on trip (including self),
trip_id,0,0,0,1,0,character,Trip ID (unique),
trip_weight,0,0,0,1,0,numeric,Trip-level weight,
tripnum,0,0,0,1,0,numeric,Trip sequence number,
vehicle_count,1,0,0,0,0,integer/categorical,Number of vehicles,
vehicle_id,0,0,0,0,1,numeric,Vehicle ID,
vehnum,0,0,0,0,1,numeric,Vehicle number,
walk_freq,0,1,0,0,0,integer/categorical,How often the person has walked outside for 15 or more minutes in the past 30 days,"if if age ≥ 18 and share = ""walk (outside for 15-minutes or more) (share_1 = ""selected"")"
work_bg,0,1,0,0,0,character,Work address census block group,"if any hh member work_from_home = ""no"", ""some of the time"", or ""most of the time"""
work_county,0,1,0,0,0,integer/categorical,Work address county,if workplace = fixed
work_from_home,0,1,0,0,0,integer/categorical,Person works from home,"if age ≥ 18 and paid_work = ""yes"" or ""on leave (e.g., medical, parental)"
work_in_region,0,1,0,0,0,integer/categorical,Work is in PSRC MPO area,
work_jurisdiction,0,1,0,0,0,integer/categorical,Work address Jurisdiction,
work_lat,0,1,0,0,0,numeric,Work address latitude,"if workplace = fixed (2023); if any hh member work_from_home = ""no"", ""some of the time"", or ""most of the time"" (2025)"
work_lng,0,1,0,0,0,numeric,Work address longitude,"if workplace = fixed (2023); if any hh member work_from_home = ""no"", ""some of the time"", or ""most of the time"" (2025)"
work_mode,0,1,0,0,0,integer/categorical,Typical means of travel to work,"if employment = full/part/self/volunteer (2023); if commute_freq NOT = ""never"" (2025)"
work_puma10,0,1,0,0,0,character,Work address PUMA (Public Use Microdata Area) 2010,"if any hh member work_from_home = ""no"", ""some of the time"", or ""most of the time"""
work_rgcname,0,1,0,0,0,integer/categorical,Work address Regional Growth Center name,if workplace = fixed
work_tract_2020,0,1,0,0,0,character,Work address: Census Tract,
workplace,0,1,0,0,0,integer/categorical,Current work location,"if full/part/self employed (2023); if any hh member work_from_home = ""no"", ""some of the time"", or ""most of the time"" (2025)"
year,0,0,0,0,1,integer/categorical,Vehicle model year,
